Failure_Number,Time,JM_Failure_Intensity,JM_MTBF,NHPP_Failure_Intensity,NHPP_MTBF,Weibull_Failure_Intensity,Weibull_MTBF,Reliability_JM,Availability_JM,Reliability_NHPP,Availability_NHPP,Reliability_Weibull,Availability_Weibull
54,18610.715390721092,1.0,1.0,1.495168075051076e-81,6.688211289997209e+80,2.287851329007265,0.4370913386377759,4.5399929762484854e-05,0.3333333333333333,0.00011758204880591227,1.0,0.588410711545831,0.1793495925688572
55,19301.784116749837,0.9500000000000001,1.0526315789473684,1.4907906905473294e-84,6.707849776234246e+83,2.3299413689695916,0.42919534942728904,7.485182988770058e-05,0.3448275862068966,0.00011758204880591227,1.0,0.588410711545831,0.17668210567275985
56,20005.728737243902,0.9,1.1111111111111112,1.3068448466147592e-87,7.652017778471501e+86,2.3720478931399867,0.4215766481326205,0.00012340980408667956,0.35714285714285715,0.00011758204880591227,1.0,0.588410711545831,0.17409180438608707
57,20723.122220976733,0.8500000000000001,1.176470588235294,1.0014371914679807e-90,9.985648710870484e+89,2.4142034140995055,0.4142153035488928,0.00020346836901064417,0.37037037037037035,0.00011758204880591227,1.0,0.588410711545831,0.1715734727304549
58,21453.254017033632,0.8,1.25,6.756186280070361e-94,1.4801249677644852e+93,2.456364731120098,0.4071056660807867,0.0003354626279025118,0.38461538461538464,0.00011758204880591227,1.0,0.588410711545831,0.16912662863846356
59,22187.172113022243,0.75,1.3333333333333333,4.388699273801839e-97,2.278579455123433e+96,2.498027653327222,0.4003158246339108,0.0005530843701478336,0.4,0.00011758204880591227,1.0,0.588410711545831,0.16677631356905534
60,22966.87443458564,0.7000000000000001,1.4285714285714284,1.8035644441501e-100,5.544575927095489e+99,2.5415415469213194,0.39346199207773874,0.0009118819655545154,0.41666666666666663,0.00011758204880591227,1.0,0.588410711545831,0.16439032388234356
61,23755.466116563184,0.65,1.5384615384615383,6.781433469256066e-104,1.4746144816336327e+103,2.584806539237201,0.38687614907346557,0.0015034391929775726,0.43478260869565216,0.00011758204880591227,1.0,0.588410711545831,0.1620847186493705
62,24572.159697359675,0.6000000000000001,1.6666666666666665,1.925157873849261e-107,5.1943791913571634e+106,2.6288628558527756,0.38039260883223613,0.0024787521766663563,0.45454545454545453,0.00011758204880591227,1.0,0.588410711545831,0.15980246595491138
63,25406.886856557,0.55,1.8181818181818181,4.563440144587588e-111,2.1913292786058293e+110,2.673141771101312,0.37409164407617945,0.004086771438464067,0.47619047619047616,0.00011758204880591227,1.0,0.588410711545831,0.15757253727319706
64,26246.909317736263,0.5,2.0,1.0259381106841248e-114,9.747176653113817e+113,2.7169731771979873,0.3680566331653297,0.006737946999085467,0.5,0.00011758204880591227,1.0,0.588410711545831,0.15542560427423413
65,27112.145611987056,0.45,2.2222222222222223,1.7924526068103523e-118,5.578948063678447e+117,2.761392937155334,0.36213607507454415,0.011108996538242308,0.5263157894736842,0.00011758204880591227,1.0,0.588410711545831,0.15330872717106944
66,27984.95718750402,0.4,2.5,2.903188077501303e-122,3.4444892073980737e+121,2.805489121166844,0.35644408401201905,0.01831563888873418,0.5555555555555556,0.00011758204880591227,1.0,0.588410711545831,0.1512635442658783
67,28889.71125349183,0.35000000000000003,2.8571428571428568,3.4164745372371806e-126,2.926993861949504e+125,2.850479133416798,0.35081821448077927,0.03019738342231849,0.5882352941176471,0.00011758204880591227,1.0,0.588410711545831,0.14923238739591943
68,29807.523356757963,0.30000000000000004,3.333333333333333,3.528343585723742e-130,2.834191103287572e+129,2.8954042799043074,0.34537491256075986,0.04978706836786392,0.625,0.00011758204880591227,1.0,0.588410711545831,0.1472578693969519
69,30757.357917066,0.25,4.0,2.645402666385414e-134,3.7801428595608285e+133,2.941174410703115,0.3400002381228867,0.0820849986238988,0.6666666666666666,0.00011758204880591227,1.0,0.588410711545831,0.14529923227513422
70,31724.883221308635,0.2,5.0,1.6618154013732004e-138,6.017515538571098e+137,2.987076062974135,0.33477553932936427,0.13533528323661267,0.7142857142857143,0.00011758204880591227,1.0,0.588410711545831,0.14338660556017493
71,32711.787164495687,0.15000000000000002,6.666666666666666,8.600296274520022e-143,1.162750640303737e+142,3.0331815211118536,0.3296868298318778,0.2231301601484298,0.7692307692307692,0.00011758204880591227,1.0,0.588410711545831,0.14151551427865938
72,33709.12809956167,0.1,10.0,4.009745105191673e-147,2.493924111797621e+146,3.0790732823370286,0.32477304315439876,0.3678794411714424,0.8333333333333334,0.00011758204880591227,1.0,0.588410711545831,0.13970096741732957
